2Chr.29	71245	71905
2Chr.30	71906	72029
2Chr.31	72030	72173
2Chr.32	72174	72330
2Chr.33	72331	73047
2Chr.34	73048	73563
2Chr.35	73564	73894
2Chr.36	73895	74376
2Chr.37	74377	74623
2Chr.38	74624	74824
2Chr.39	74825	75116
2Chr.40	75117	75472
2Chr.41	75473	75989
2Chr.42	75990	76604
2Chr.43	76605	76809
2Chr.44	76810	76973
2Chr.45	76974	77073
2Chr.46	77074	77265
2Chr.47	77266	77464
2Chr.48	77465	77710
2Chr.49	77711	77840
2Chr.50	77841	78441
2Chr.51	78442	78651
2Chr.52	78652	79117
2Chr.53	79118	79430
2Chr.54	79431	80258
2Chr.55	80259	80414
2Chr.56	80415	80711
2Chr.57	80712	81189
2Chr.58	81190	81450
2Chr.59	81451	81839
2Chr.60	81840	82076
2Chr.61	82077	82422
2Chr.62	82423	82788
2Chr.63	82789	83041
2Chr.64	83042	83334
2Chr.65	83335	83436
2Chr.66	83437	84109
2Chr.67	84110	84350
2Chr.68	84351	84538
2Chr.69	84539	84689
2Chr.70	84690	85243
2Chr.71	85244	85411
2Chr.72	85412	85500
2Chr.73	85501	85558
2Chr.74	85559	85849
2Kgs.1	85850	86476
2Kgs.2	86477	86515
2Kgs.3	86516	87153
2Kgs.4	87154	87230
2Kgs.5	87231	87963
2Kgs.6	87964	88168
2Kgs.7	88169	88925
2Kgs.8	88926	89126
2Kgs.9	89127	90106
2Kgs.10	90107	90545
2Kgs.11	90546	91786
2Kgs.12	91787	92045
2Kgs.13	92046	92263
2Kgs.14	92264	92409
2Kgs.15	92410	93230
2Kgs.16	93231	93433
2Kgs.17	93434	93961
2Kgs.18	93962	94484
2Kgs.19	94485	94571
2Kgs.20	94572	95153
2Kgs.21	95154	95269
2Kgs.22	95270	95599
2Kgs.23	95600	95750
2Kgs.24	95751	95984
2Kgs.25	95985	96090
2Kgs.26	96091	96311
2Kgs.27	96312	96411
2Kgs.28	96412	96595
2Kgs.29	96596	96873
2Kgs.30	96874	96991
2Kgs.31	96992	97185
2Kgs.32	97186	97340
2Kgs.33	97341	97449
2Kgs.34	97450	97557
2Kgs.35	97558	97712
2Kgs.36	97713	97818
2Kgs.37	97819	97972
2Kgs.38	97973	98119
2Kgs.39	98120	98279
2Kgs.40	98280	98751
2Kgs.41	98752	98899
2Kgs.42	98900	99359
2Kgs.43	99360	99869
2Kgs.44	99870	100064
2Kgs.45	100065	100175
2Kgs.46	100176	100298
2Kgs.47	100299	101302
2Kgs.48	101303	101860
2Kgs.49	101861	102147
2Kgs.50	102148	102444
2Kgs.51	102445	102738
2Kgs.52	102739	102938
2Kgs.53	102939	103098
2Kgs.54	103099	103148
