Lemma	Count in book	Count in Hebrew Bible	Gloss
יְבֶרֶכְיָ֫הוּ	1	1	Yah blesseth
נְבִיאָה	1	6	prophetess
שִׁלֹחַ	1	1	
אַט	1	5	gentleness
אָפִיק	1	19	channel
גָּדָה	1	4	bank
מֻטָּה	1	1	spreading|outspreading
רֹ֫חַב	1	101	breadth|width
עוּץ	1	2	counsel|plan
חֶזְקָה	1	4	strength|force
נֶ֫גֶף	1	7	blow|striking
מוֹקֵשׁ	1	27	a bait|lure|a snare
קָשָׁה	1	28	be hard|severe|fierce
מָעוּף	1	1	
מוּעָף	1	1	gloom
מוּצָק	1	3	constraint|distress
זְבוּלֻן	1	45	Zebulun
נַפְתָּלִי	1	51	Naphtali
יַרְדֵן	1	183	Jordan
גָּלִיל	1	6	cylinder|rod|circuit|district
צַלְמָ֫וֶת	1	18	death-shadow|deep shadow
סְאוֹן	1	1	sandal|boot of soldier
סָאַן	1	1	tread|tramp
סָעַד	1	12	support|sustain|stay
גָּזִית	1	11	cutting|hewing
שִׁקְמָה	1	7	sycomore tree
רִשְׁעָה	1	15	wickedness
אָבַךְ	1	1	turn
עָתַם	1	1	is burned up
חֹק	1	2	something prescribed|a statute|due
דִּין	1	21	judgment
גָּזַל	1	30	tear away|seize|rob
אָן	1	43	where?|whither?
כַּרְכְּמִישׁ	1	3	
כַּלְנֶה	1	2	
פָּצָה	1	15	part|open
גַּרְזֶן	1	4	axe|pick|pick-axe
מַשּׂוֹר	1	1	saw
רָזוֹן	1	3	leanness|wasting|scantness
נָסַס	1	1	be sick
כִּלָּיוֹן	1	2	failing|pining|annihilation
תַּבְלִית	1	1	destruction
עֹרֵב	1	7	raven
עַי	1	40	
מִגְרוֹן	1	2	
מִכְמָס	1	11	
גֶּ֫בַע	1	18	
מָלוֹן	1	8	lodging-place|inn|khan
רָמָה	1	36	the Height|Rama
גִּבְעָה	1	43	hill
שָׁאוּל	1	406	asked
גַּלִּים	1	2	heaps
לַ֫יְשָׁה	1	1	
עֲנָתוֹת	1	15	
מַדְמֵנָה	1	1	
גֵּבִים	1	1	trenches
עוּז	1	4	take|seek refuge
נֹב	1	6	
סֵעֵף	1	1	lop off boughs
פארה	1	1	boughs
מַעֲרָצָה	1	1	awful shock|crash
נָקַף	1	2	strike off
חֹטֶר	1	2	branch|twig|rod
רִיחַ	1	11	smell|perceive odour
מִשְׁמָע	1	1	thing heard
נָמֵר	1	6	leopard
גְּדִי	1	16	kid
פָּרָה	1	26	heifer|cow
רָעָה	1	6	associate with
פֶּ֫תֶן	1	6	serpent|cobra
מְאוּרָה	1	1	light-hole
הָדָה	1	1	stretch out
פַּתְרוֹס	1	5	
שִׁנְעָר	1	8	Shinar
קָנָא	1	33	
צָרַר	1	25	shew hostility toward|vex
מִשְׁלוֹחַ	1	3	
עַמּוֹן	1	106	Ammon
מִשְׁמַ֫עַת	1	4	obedient band|body of subjects
עֲיָם	1	1	glow
אָנֵף	1	14	be angry
זִמְרָה	1	3	melody|song
שָׁאַב	1	19	draw
עֲלִילָה	1	24	wantonness|deed
זמר	1	45	make music
שָׁפָה	1	2	sweep bare
שַׁדַּי	1	48	sufficient|Almighty
אַכְזָרִי	1	8	cruel
כְּסִיל	1	4	Orion
הָלַל	1	4	shine
זֵד	1	13	insolent|presumptious
פַּז	1	9	refined|pure gold
כֶּ֫תֶם	1	9	gold
אוֹפִיר	1	13	Ophir
צְבִי	1	14	gazelle
דָּקַר	1	11	pierce|pierce through
עוֹלֵל	1	20	child
שָׁסַס	1	5	
שָׁגֵל	1	4	violate|ravish
חוּס	1	24	pity|look upon with compassion
אָהַל	1	3	tent|move tent
עֲרָבִי	1	2	steppe-dweller
אֹחַ	1	1	jackal
רָקַד	1	9	skip about
עוּן	1	1	dwell
גֵּר	1	92	sojourner
סָפַח	1	5	join|attach to
עֹ֫צֶב	1	3	pain
רֹ֫גֶז	1	7	agitation|excitement|raging
מָשָׁל	1	39	proverb|parable|parallelism
מַדְהֵבָה	1	1	boisterous|raging|behavior
מֻרְדָּף	1	1	persecution
הֶמְיָה	1	1	sound|music
רִמָּה	1	7	worm|decay
הֵילֵל	1	1	shining one
חָלַשׁ	1	3	be weak|prostrate|weaken|disable|prostrate
עֶלְיוֹן	1	30	Highest|Most High
שָׁגַח	1	3	gaze
אָסִיר	1	13	bondman|prisoner
טָעַן	1	1	pierce
יָחַד	1	3	be united
קְבֻרָה	1	14	grave|burial
מַטְבֵּחַ	1	1	slaughtering-place
נִין	1	3	offspring|posterity
נֶ֫כֶד	1	3	progeny|posterity
מוֹרָשׁ	1	3	a possession
טֵאטֵא	1	1	and I will sweep it with the besom of destruction
מַטְאֲטֵא	1	1	broom|besom
צֶ֫פַע	1	1	serpent|hissing
בְּכוֹר	1	118	first-born
בָּדַד	1	4	be separate|isolated
מוֹעָד	1	1	appointed place
עָר	1	6	
קִיר	1	1	
בַ֫יִת	1	1	
דִּיבֹן	1	11	
נְבוֹ	1	12	
מֵידְבָא	1	5	
גָּרַע	1	22	diminish|restrain|withdraw
יַ֫הַץ	1	9	
יָרַע	1	4	quiver
