Lemma	Count in book	Count in Hebrew Bible	Gloss
סוּס	1	3	swallow|swift
עָגוּר	1	2	crane
עָשְׁקָה	1	1	oppression|distress
דָּדָה	1	2	move slowly
חָלַם	1	2	be healthy|strong
חָשַׁק	1	8	be attached to|love
שָׂבַר	1	6	wait|hope
נְגִינָה	1	14	music
דְּבֵלָה	1	5	lump|pressed|fig-|cake
מָרַח	1	1	rub
שְׁחִין	1	13	boil|eruption
??	1	1	??
מְרֹדַךְ בַּלְאֲדָן	1	1	Marduk has given a son
בַּלְאֲדָן	1	2	abal-idinna|he has given a son
אַ֫יִן	1	16	whence?
כֶּ֫פֶל	1	3	the double
עָקֹב	1	1	steep|hilly
רֶ֫כֶס	1	1	roughness|binding|know|impassable|chain
נָשַׁב	1	3	blow
טָלֶה	1	1	lamb
עוּל	1	5	give suck
שֹׁ֫עַל	1	3	hollow hand|handful
זֶ֫רֶת	1	7	span
כּוּל	1	37	comprehend|contain
שָׁלִ(י)שׁ	1	2	third
פֶּ֫לֶס	1	2	balance|scale
מַר	1	1	drop
דְּלִי	1	2	bucket
רְתֻקָה	1	1	chain
סָכַן	1	1	be poor
תְּרוּמָה	1	76	contribution|offering|lifted off|separated
רָקֵב	1	2	rot
חוּג	1	3	vault
חָגָב	1	5	locust|grasshopper
דֹּק	1	1	veil|curtain
מָתַח	1	1	spread out
רָזַן	1	6	be weighty|judicious|commanding
נָשַׁף	1	2	blow
חֵ֫קֶר	1	12	searching|thing|searched out
אֵ֫בֶר	1	3	pinions
נֶשֶׁר	1	26	griffon-vulture|eagle
חָלַק	1	9	be smooth|slippery
פַּטִּישׁ	1	3	forge-hammer
דֶּ֫בֶק	1	3	joining|soldering|appendage
מַסְמֵר	1	4	nail
אָצִיל	1	2	side|corner|chief
מַצּוּת	1	1	
מוֹרַג	1	3	threshing-sledge
פֶּה	1	2	mouth
שִׁטָּה	1	28	acacia
עַצֻמָה	1	1	defence
קָרָה	1	22	encounter|meet|befall
אֶ֫פַע	1	1	
סָגָן	1	17	prefect|ruler
כָּהָה	1	7	be|grow dim|faint
חָצֵר	1	45	settled abode|settlement|village
צָוַח	1	1	cry aloud
צָרַח	1	2	cry|roar
גָּבַר	1	25	be strong|mighty
פָּעָה	1	1	groan
נשׁם	1	1	pant|pant
שָׁאַף	1	8	gasp|pant|pant after|long for
מַעֲקָשׁ	1	1	twisted|crooked place
אָדַר	1	3	wide|great|high|noble
פָּחַח	1	1	ensnare
מְשִׁסָּה	1	1	booty|plunder
עֱזוּז	1	3	strength|might|fierceness
לָהַט	1	11	blaze up|flame
כָּוָה	1	2	burn|scorch|brand
כֹּפֶר	1	13	the price of a life|ransom
סְבָא	1	4	
תֵּימָן	1	23	south|south wind
כָּלָא	1	18	shut up|restrain|withhold|restrain|hinder|protect
עִזּוּז	1	2	mighty|powerful
דָּעַךְ	1	9	go out|be extinguished
קַדְמֹנִי	1	10	former|eastern
יְשֻׁרוּן	1	4	upright one|ideal
יַבָּשָׁה	1	14	dry land|dry ground
רָהָה	1	1	fear
אֱלֹהַּ	1	60	god|God
מַעֲצָד	1	2	axe
מַקֶּ֫בֶת	1	3	hammer|drives in
שֶׂ֫רֶד	1	1	stylus
מַקְצֻעָה	1	1	scraping tool
מְחוּגָה	1	1	circle-instrument|compass
תַּבְנִית	1	20	construction|pattern|figure
תִּרְזָה	1	1	cypress|holm-tree
אֹ֫רֶן	1	1	fir|cedar
??	1	3	??
שָׂלַק	1	3	kindle|burn
צָלִי	1	3	roasted|roast
הֶאָח	1	12	Aha!
טָחַח	1	1	be besmeared
בּוּל	1	2	produce|outgrowth
תָּלַל	1	9	
נָשָׁה	1	6	forget
תַּחְתִּי	1	19	lower|lowest
הָלַל	1	10	be boastful|praise
סָכַל	1	8	be foolish|a fool
צוּלָה	1	1	ocean-deep
מָשִׁיחַ	1	39	anointed
רָדַד	1	4	beat out|beat down|subdue
מַטְמוֹן	1	5	hidden treasure|treasure
מִסְתָּר	1	10	secret place|hiding-place
רָעַף	1	5	trickle|drip
סְבָאִים	1	1	Sᵉbā’im
מִדָּה	1	54	measure|measurement|stature|size|garment
זֵק	1	4	fetter|fetters
צִיר	1	2	image
פָּלִיט	1	19	escaped one|fugitive
בֵּל	1	3	Merodach
נְבוֹ	1	1	Nebo
נְשׂוּאָה	1	1	what is borne about
רֶ֫חֶם	1	5	womb
זִקְנָה	1	6	old age
שֵׂיבָה	1	19	hoary head|old age
זוּל	1	2	lavish|be cheap|of little value|lightly esteem
כִּיס	1	6	bag|purse|from his purse|bag
שָׂכַר	1	20	hire
אשׁשׁ	1	1	
רֵאשִׁית	1	51	beginning|chief
רַךְ	1	16	tender|delicate|soft
עָנֹג	1	3	dainty
רֵחֶה	1	5	hand-|mill|two mill-stones
קֶ֫מַח	1	14	flour|meal
צַמָּה	1	4	woman’s veil
שֹׁ֫בֶל	1	1	flowing skirt|train
שׁוֹק	1	19	leg
דּוּמָם	1	3	silence|stone of silence|dumb stone|in silence|silently
עָדִין	1	1	voluptuous
אַלְמֹן	1	1	widowhood
תֹּם	1	24	completeness|integrity
הֹוָה	1	3	ruin|disaster
גִּיד	1	7	sinew
עֹ֫רֶף	1	33	back of neck|neck
מֵ֫צַח	1	13	brow|forehead
עֹ֫צֶב	1	1	idol
חָטַם	1	1	hold in|restrain
כּוּר	1	9	smelting-pot|furnace
עֳנִי	1	36	affliction|poverty
טָפַח	1	2	extend|spread
מָעָה	1	1	grain
זוּב	1	42	flow|gush
חַד	1	4	sharp
נציר	1	1	preserved
בָזָה	1	1	despise
מַרְעִית	1	10	pasturing|shepherding|pasturage
סִינִים	1	1	
עֲדִי	1	14	ornaments|decked
קָשַׁר	1	44	bind|league together|conspire
הֲרִיסוּת	1	1	overthrow|destruction|ruin
צָרַר	1	10	bind|tie up|be restricted|narrow|scant|cramped
שִׁכֻּלִים	1	1	bereavement|childlessness
שָׁכוּל	1	1	childless
גַּלְמוּד	1	4	hard|barren
אֵיפֹה	1	10	
חֹ֫צֶן	1	2	bosom
שָׂרָה	1	5	princess|noble lady
לָחַךְ	1	6	lick
יָרִיב	1	3	opponent|adversary
יָנָה	1	19	suppress|oppress|maltreat
עָסִיס	1	5	sweet wine|pressed out
כְּרִיתוּת	1	4	divorcement
פְּדוּת	1	4	ransom
דָּגָה	1	15	fish
קַדְרוּת	1	1	darkness|gloom
כְּסוּת	1	9	covering
עוּת	1	1	to help
מָרַט	1	12	make smooth|bare|bald|scour|polish
רֹק	1	3	spittle
חַלָּמִישׁ	1	5	flint
מַעֲצֵבָה	1	1	place of pain|pain
מַקֶּבֶת	1	1	hole|excavation
נָקַר	1	6	bore|pick|dig
שָׂרָה	1	38	princess
עֵ֫דֶן	1	14	
תּוֹדָה	1	32	thanksgiving
זִמְרָה	1	4	melody|song
מָלַח	1	1	tear away|dissipate|be dispersed in fragments|dissipated
כֵּן	1	7	gnat|gnats|gnat-swarm|lice
סָ֑ס	1	1	moth
רַ֫הַב	1	3	storm|arrogance
מַעֲמַקִּים	1	5	depths
רָגַע	1	6	disturb
מָצָה	1	7	drain|drain out
קָרָא	1	37	encounter|befall
עָלַף	1	5	cover
תְּאוֹ	1	2	antelope
מִכְמָר	1	1	net|snare
מָלֵא	1	58	full
יָגָה	1	8	suffer
עָרֵל	1	35	having foreskin|uncircumcised
שָׁבִי	1	1	captive
נָאָה	1	3	be comely|befitting
חִפָּזוֹן	1	3	trepidation|hurried flight
מְנוּסָה	1	2	flight
מִשְׁחַת	1	1	disfigurement
נָזָה	1	1	spring|leap
קָפַץ	1	7	draw together|shut
יוֹנֵק	1	1	young plant|sapling|sucker
חָדֵל	1	3	forbearing|lacking
מַסְתֵּר	1	1	hiding|act of hiding
רָחֵל	1	4	ewe
גָּזַז	1	15	shear
אָלַם	1	9	bind
עֹ֫צֶר	1	3	restraint|coercion
שִׂיחַ	1	20	muse|complain|talk
נֶ֫גַע	1	78	stroke|plague|mark|plague-spot
עָשִׁיר	1	23	rich|the rich
מִרְמָה	1	39	deceit|treachery
אָשָׁם	1	46	offence|guilt
עָקָר	1	12	barren
יְרִיעָה	1	54	curtain
מֵיתָר	1	9	cord|string
עָלוּמִים	1	5	youth|youthful vigour
אַלְמָנוּת	1	4	widowhood
שֶׁ֫טֶף	1	1	flood
סָעַר	1	7	storm|rage
פּוּךְ	1	4	antimony|stibium
סַפִּיר	1	11	sapphire|lapis lazuli
כַּדְכֹּד	1	2	ruby
אֶקְדָּח	1	1	fiery glow|sparkle
מְחִתָּה	1	11	terror|destruction|ruin
נָפַח	1	12	breathe|blow
דֶּ֫שֶׁן	1	15	fatness|fat ashes
נָגִיד	1	44	leader|one in front|ruler|prince
סָלַח	1	48	forgive|pardon
רֵיקָם	1	16	emptily|vainly
מָחָא	1	3	strike|clap
סִרְפָּד	1	1	
יָבֵשׁ	1	9	dry|dried
שָׂדַי	1	13	field|land
נָבַח	1	1	bark
הָזָה	1	1	dream|rave
סָבָא	1	4	imbibe|drink largely
נָכֹחַ	1	4	straight|right|straightness
הֵ֫נָּה	1	50	hither
נָאַף	1	31	commit adultery
רַעֲנָן	1	19	luxuriant|fresh
חָלָק	1	1	smooth
מְזוּזָה	1	19	door-post|gate-post
זִכָּרוֹן	1	24	memorial|remembrance
שׁוּר	1	2	travel|journey
רַקּוּחַ	1	1	perfumery
יָאַשׁ	1	6	despair
דָּאַג	1	7	be anxious|concerned|fear
קִבּוּץ	1	1	heap
דַּכָּא	1	2	contrite
עָטַף	1	13	be feeble|faint
שׁוֹבָב	1	4	backturning|recusant|apostate
נִחוּם	1	3	
נוֹב	1	1	fruit|fruit of lips
נִיב	1	2	fruit
רֶ֫פֶשׁ	1	1	mire
קִרְבָה	1	2	approach
עָצֵב	1	1	toiler|sufferer
מַצָּה	1	3	strife|contention
אֶגְרֹף	1	2	fist
כָּפַף	1	5	bend|bend down|be bent|bowed
חַרְצֻבָּה	1	2	bond|fetter|pang
נָתַר	1	5	be free|loose
אֲגֻדָּה	1	4	band
חָפְשִׁי	1	17	free
פָּרַס	1	14	break|divide
מָרוֹד	1	3	restlessness|straying
אֲרוּכָה	1	6	healing|restoration
שָׁוַע	1	21	cry out
פּוּק	1	7	bring out|furnish|promote
צַחְצָחָה	1	1	scorched region
רָוֶה	1	3	watered
גָּדַר	1	10	wall up|wall off|build a wall
עַוְלָה	1	32	injustice|unrighteousness|wrong
עַכָּבִישׁ	1	2	spider
זוּר	1	1	press down and out
נָקִי	1	41	clean|free from|exempt
עָקַשׁ	1	5	twist
נְגֹהָה	1	1	brightness
אַשְׁמַנִּים	1	1	among the stout|lusty|like dead men|in|vigour
כָּחַשׁ	1	22	be disappointing|deceive|fail|grow lean
שִׁרְיוֹן	1	8	body-armour
כּוֹבַע	1	6	helmet
תִּלְבֹּשֶׁת	1	1	raiment
עָטָה	1	15	wrap oneself|enwrap|envelop oneself
גְּמוּלָה	1	3	dealing|recompense
עֲרָפֶל	1	15	cloud|heavy cloud
זֶ֫רַח	1	1	dawning|shining
נָהַר	1	2	shine|beam
שִׁפְעָה	1	6	abundance|quantity
בִּכְרָה	1	1	young camel|dromedary
עֵיפָה	1	5	
שְׁבָא	1	23	Shᵉbâ
נְבָיוֹת	1	5	
קָוָה	1	3	collect|be collected
יֶ֫רַח	1	13	month
צָעִיר	1	24	little|insignificant|young
דְּרוֹר	1	8	a flowing|free run|liberty
??	1	1	??
פְּקַח־קוֹחַ	1	1	opening|wide|complete|opening
מַעֲטֶה	1	1	wrap|mantle
חָדַשׁ	1	10	renew|repair
חֹ֫רֶב	1	4	desolation
אִכָּר	1	7	ploughman|husbandman
כָּרַם	1	5	tend vineyards|dress vines|vinedressers
ימר	1	1	
גָּזֵל	1	4	robbery
יָעַט	1	1	cover
כָּהַן	1	23	act as priest
עָדָה	1	8	ornament|deck oneself
זֵרוּעַ	1	2	sowing|thing sown
לַפִּיד	1	14	torch
??	1	2	??
חֶפְצִי־בָהּ	1	2	my delight is in her
מַאֲכָל	1	30	food
חמץ	1	1	be red
אָדֹם	1	7	red
גַּת	1	5	wine-press
פּוּרָה	1	2	wine-press
נָזָה	1	23	spurt|spatter|sprinkle
מַלְבּוּשׁ	1	8	raiment|attire
גְּאוּלַי	1	1	redemption
שָׁקַר	1	6	do|deal falsely
אַהֲבָה	1	40	love
חֶמְלָה	1	2	compassion|mercy
זְבֻל	1	5	elevation|height|abode
קָשַׁח	1	2	make hard|treat hardly
מִצְעָר	1	5	a small thing
הֶ֫מֶס	1	1	brushwood
עִדָּה	1	1	menstruation|time|period
מַחְמָד	1	13	desire|desirable thing
כָּעַס	1	55	be vexed|angry
פָּרָק	1	1	fragment
מָרָק	1	3	juice|broth
פִּגּוּל	1	4	foul thing|refuse
אֶשְׁכּוֹל	1	9	cluster
עָכוֹר	1	5	disturbance|trouble
שָׁכֵחַ	1	2	forgetting|forgetful
גַּד	1	1	
מְנִי	1	1	Mᵉnî|award|apportionment
מִמְסָךְ	1	2	mixed drink
שְׁבוּעָה	1	30	oath|curse
בֶּֽהָלָה	1	4	dismay|sudden terror|ruin
טָלֶה	1	2	lamb
הֲדֹם	1	6	stool|footstool
נָכֵה	1	3	smitten|stricken
עָרַף	1	6	break the neck
שִׁקּוּץ	1	28	detested thing
מְגוּרָה	1	2	store-house|granary
נָדָה	1	2	put away|exclude
זָכָר	1	82	male
עָצַר	1	46	restrain|retain
תַּנְחוּם	1	5	consolation
מָצַץ	1	1	drain out
זִיז	1	1	abundance|fulness
זָעַם	1	12	be indignant
רָבַב	1	13	be|become|many|much
טָהֵר	1	95	be clean|pure
שֶׁ֫קֶץ	1	11	detestation|detestable thing
עַכְבָר	1	6	mouse
סוּף	1	6	come to an end|cease
פָּלֵיט	1	5	
פּוּל	1	4	Pulu
לוּד	1	5	
תּוּבַל	1	8	
יָוָן	1	11	Ionia|ns|Greece
צָב	1	2	litter
פֶּ֫רֶד	1	14	mule
כִּרְכָּרָה	1	1	dromedary
טָהוֹר	1	94	clean|pure
לֵוִי	1	286	Levite
דֵּרָאוֹן	1	2	aversion|abhorrence
