1Chr.1 1Chr.1.1 1Chr.1.42
Ezek.50 Ezek.24.9 Ezek.24.14
Ezek.51 Ezek.24.15 Ezek.25.14
Ezek.52 Ezek.25.15 Ezek.26.6
Ezek.53 Ezek.26.7 Ezek.28.19
Ezek.54 Ezek.28.20 Ezek.29.12
Ezek.55 Ezek.29.13 Ezek.29.16
Ezek.56 Ezek.29.17 Ezek.29.21
Ezek.57 Ezek.30.1 Ezek.30.5
Ezek.58 Ezek.30.6 Ezek.30.19
Ezek.59 Ezek.30.20 Ezek.32.16
Ezek.60 Ezek.32.17 Ezek.32.32
Ezek.61 Ezek.33.1 Ezek.33.11
Ezek.62 Ezek.33.12 Ezek.33.20
Ezek.63 Ezek.33.21 Ezek.33.22
Ezek.64 Ezek.33.23 Ezek.34.31
Ezek.65 Ezek.35.1 Ezek.35.15
Ezek.66 Ezek.36.1 Ezek.37.14
Ezek.67 Ezek.37.15 Ezek.39.29
Ezek.68 Ezek.40.1 Ezek.44.14
Ezek.69 Ezek.44.15 Ezek.44.31
Ezek.70 Ezek.45.1 Ezek.46.15
Ezek.71 Ezek.46.16 Ezek.48.29
Ezra.1 Ezek.48.30 Ezra.1.11
Ezra.2 Ezra.2.1 Ezra.2.41
Ezra.3 Ezra.2.42 Ezra.2.42
Ezra.4 Ezra.2.43 Ezra.2.67
Ezra.5 Ezra.2.68 Ezra.3.7
Ezra.6 Ezra.3.8 Ezra.3.8
Ezra.7 Ezra.3.9 Ezra.3.13
Ezra.8 Ezra.4.1 Ezra.4.7
Ezra.9 Ezra.4.8 Ezra.4.11
Ezra.10 Ezra.4.12 Ezra.4.16
Ezra.11 Ezra.4.17 Ezra.4.24
Ezra.12 Ezra.5.1 Ezra.5.2
Ezra.13 Ezra.5.3 Ezra.5.5
Ezra.14 Ezra.5.6 Ezra.6.2
Ezra.15 Ezra.6.3 Ezra.6.12
Ezra.16 Ezra.6.13 Ezra.6.15
Ezra.17 Ezra.6.16 Ezra.6.18
Ezra.18 Ezra.6.19 Ezra.6.22
Ezra.19 Ezra.7.1 Ezra.7.6
Ezra.20 Ezra.7.7 Ezra.7.11
Ezra.21 Ezra.7.12 Ezra.7.26
Ezra.22 Ezra.7.27 Ezra.7.28
Ezra.23 Ezra.8.1 Ezra.8.14
Ezra.24 Ezra.8.15 Ezra.8.30
Ezra.25 Ezra.8.31 Ezra.8.34
Ezra.26 Ezra.8.35 Ezra.8.35
Ezra.27 Ezra.8.36 Ezra.9.14
Ezra.28 Ezra.9.15 Ezra.9.15
Ezra.29 Ezra.10.1 Ezra.10.4
Ezra.30 Ezra.10.5 Ezra.10.9
Ezra.31 Ezra.10.10 Ezra.10.14
Ezra.32 Ezra.10.15 Ezra.10.17
Ezra.33 Ezra.10.18 Ezra.10.44
Gen.1 Gen.1.1 Gen.1.5
Gen.2 Gen.1.6 Gen.1.8
Gen.3 Gen.1.9 Gen.1.13
Gen.4 Gen.1.14 Gen.1.19
Gen.5 Gen.1.20 Gen.1.23
Gen.6 Gen.1.24 Gen.1.31
Gen.7 Gen.2.1 Gen.2.3
Gen.8 Gen.2.4 Gen.3.21
Gen.9 Gen.3.22 Gen.4.26
Gen.10 Gen.5.1 Gen.5.20
Gen.11 Gen.5.21 Gen.5.24
Gen.12 Gen.5.25 Gen.5.27
Gen.13 Gen.5.28 Gen.6.4
Gen.14 Gen.6.5 Gen.6.8
Gen.15 Gen.6.9 Gen.9.17
Gen.16 Gen.9.18 Gen.9.29
Gen.17 Gen.10.1 Gen.10.32
Gen.18 Gen.11.1 Gen.11.9
Gen.19 Gen.11.10 Gen.12.9
Gen.20 Gen.12.10 Gen.13.18
Gen.21 Gen.14.1 Gen.17.27
Gen.22 Gen.18.1 Gen.21.21
Gen.23 Gen.21.22 Gen.21.34
Gen.24 Gen.22.1 Gen.22.19
Gen.25 Gen.22.20 Gen.24.67
Gen.26 Gen.25.1 Gen.25.18
Gen.27 Gen.25.19 Gen.32.3
Gen.28 Gen.32.4 Gen.34.31
Gen.29 Gen.35.1 Gen.35.8
Gen.30 Gen.35.9 Gen.35.22
Gen.31 Gen.35.22 Gen.35.29
Gen.32 Gen.36.1 Gen.36.30
Gen.33 Gen.36.31 Gen.36.43
Gen.34 Gen.37.1 Gen.37.36
Gen.35 Gen.38.1 Gen.40.23
Gen.36 Gen.41.1 Gen.44.17
Gen.37 Gen.44.18 Gen.46.27
Gen.38 Gen.46.28 Gen.47.31
Gen.39 Gen.48.1 Gen.48.22
Gen.40 Gen.49.1 Gen.49.4
Gen.41 Gen.49.5 Gen.49.12
Gen.42 Gen.49.13 Gen.49.26
Hab.1 Gen.49.27 Hab.2.8
Hab.2 Hab.2.9 Hab.2.11
Hab.3 Hab.2.12 Hab.2.20
Hab.4 Hab.3.1 Hab.3.13
Hag.1 Hab.3.14 Hag.1.2
Hag.2 Hag.1.3 Hag.1.6
Hag.3 Hag.1.7 Hag.1.14
Hag.4 Hag.1.15 Hag.2.9
Hos.1 Hag.2.10 Hos.1.2
Hos.2 Hos.1.2 Hos.2.15
Hos.3 Hos.2.16 Hos.2.25
Hos.4 Hos.3.1 Hos.3.5
Hos.5 Hos.4.1 Hos.6.11
Hos.6 Hos.7.1 Hos.14.1
Isa.1 Hos.14.2 Isa.1.23
Isa.2 Isa.1.24 Isa.2.4
Isa.3 Isa.2.5 Isa.2.22
Isa.4 Isa.3.1 Isa.4.6
Isa.5 Isa.5.1 Isa.5.10
Isa.6 Isa.5.11 Isa.5.30
Isa.7 Isa.6.1 Isa.6.13
Isa.8 Isa.7.1 Isa.7.17
Isa.9 Isa.7.18 Isa.7.25
Isa.10 Isa.8.1 Isa.10.19
Isa.11 Isa.10.20 Isa.11.9
Isa.12 Isa.11.10 Isa.11.10
Isa.13 Isa.11.11 Isa.12.6
Isa.14 Isa.13.1 Isa.14.23
Isa.15 Isa.14.24 Isa.14.27
Isa.16 Isa.14.28 Isa.21.5
Isa.17 Isa.21.6 Isa.22.14
Isa.18 Isa.22.15 Isa.23.18
Isa.19 Isa.24.1 Isa.24.23
Isa.20 Isa.25.1 Isa.25.5
Isa.21 Isa.25.6 Isa.25.8
Isa.22 Isa.25.9 Isa.28.13
Isa.23 Isa.28.14 Isa.30.14
Isa.24 Isa.30.15 Isa.32.8
Isa.25 Isa.32.9 Isa.35.10
Isa.26 Isa.36.1 Isa.39.8
Isa.27 Isa.40.1 Isa.40.31
Isa.28 Isa.41.1 Isa.41.16
Isa.29 Isa.41.17 Isa.41.20
Isa.30 Isa.41.21 Isa.41.29
Isa.31 Isa.42.1 Isa.42.4
Isa.32 Isa.42.5 Isa.42.9
Isa.33 Isa.42.10 Isa.42.25
Isa.34 Isa.43.1 Isa.44.5
Isa.35 Isa.44.6 Isa.44.23
Isa.36 Isa.44.24 Isa.45.13
Isa.37 Isa.45.14 Isa.45.17
Isa.38 Isa.45.18 Isa.48.16
Isa.39 Isa.48.17 Isa.49.21
Isa.40 Isa.49.22 Isa.50.11
Isa.41 Isa.51.1 Isa.65.12
Jer.1 Isa.65.13 Jer.1.6
Jer.2 Jer.1.7 Jer.1.10
Jer.3 Jer.1.11 Jer.1.12
Jer.4 Jer.1.13 Jer.1.19
Jer.5 Jer.2.1 Jer.2.3
Jer.6 Jer.2.4 Jer.3.5
Jer.7 Jer.3.6 Jer.3.10
Jer.8 Jer.3.11 Jer.4.8
Jer.9 Jer.4.9 Jer.4.31
Jer.10 Jer.5.1 Jer.6.8
Jer.11 Jer.6.9 Jer.6.21
Jer.12 Jer.6.22 Jer.6.30
Jer.13 Jer.7.1 Jer.9.15
Jer.14 Jer.9.16 Jer.10.25
Jer.15 Jer.11.1 Jer.13.7
Jer.16 Jer.13.8 Jer.13.27
Jer.17 Jer.14.1 Jer.14.22
Jer.18 Jer.15.1 Jer.15.21
Jer.19 Jer.16.1 Jer.17.27
Jer.20 Jer.18.1 Jer.18.4
Jer.21 Jer.18.5 Jer.19.5
Jer.22 Jer.19.6 Jer.19.13
Jer.23 Jer.19.14 Jer.20.3
Jer.24 Jer.20.4 Jer.20.18
Jer.25 Jer.21.1 Jer.23.15
Jer.26 Jer.23.16 Jer.24.3
Jer.27 Jer.24.4 Jer.24.10
Jer.28 Jer.25.1 Jer.25.38
Jer.29 Jer.26.1 Jer.26.24
Jer.30 Jer.27.1 Jer.27.18
Jer.31 Jer.27.19 Jer.27.22
Jer.32 Jer.28.1 Jer.28.11
Jer.33 Jer.28.12 Jer.28.17
Jer.34 Jer.29.1 Jer.29.7
Jer.35 Jer.29.8 Jer.29.29
Jer.36 Jer.29.30 Jer.30.3
Jer.37 Jer.30.4 Jer.30.11
Jer.38 Jer.30.12 Jer.31.6
Jer.39 Jer.31.7 Jer.32.5
Jer.40 Jer.32.6 Jer.32.15
Jer.41 Jer.32.16 Jer.32.44
Jer.42 Jer.33.1 Jer.34.7
Jer.43 Jer.34.8 Jer.34.22
Jer.44 Jer.35.1 Jer.35.11
Jer.45 Jer.35.12 Jer.35.19
Jer.46 Jer.36.1 Jer.36.18
Jer.47 Jer.36.19 Jer.37.5
Jer.48 Jer.37.6 Jer.37.16
Jer.49 Jer.37.17 Jer.38.19
Jer.50 Jer.38.20 Jer.38.23
Jer.51 Jer.38.24 Jer.38.26
Jer.52 Jer.38.27 Jer.38.27
Jer.53 Jer.38.28 Jer.38.28
Jer.54 Jer.39.1 Jer.40.12
Jer.55 Jer.40.13 Jer.44.19
Jer.56 Jer.44.20 Jer.44.25
Jer.57 Jer.44.26 Jer.46.12
Jer.58 Jer.46.13 Jer.52.30
Job.1 Jer.52.31 Job.1.5
Job.2 Job.1.6 Job.1.22
Job.3 Job.2.1 Job.2.10
Job.4 Job.2.11 Job.3.1
Job.5 Job.3.2 Job.3.26
Job.6 Job.4.1 Job.5.27
Job.7 Job.6.1 Job.7.21
Job.8 Job.8.1 Job.8.22
Job.9 Job.9.1 Job.10.22
Job.10 Job.11.1 Job.11.20
Job.11 Job.12.1 Job.14.22
Job.12 Job.15.1 Job.20.29
Job.13 Job.21.1 Job.22.30
Job.14 Job.23.1 Job.25.6
Job.15 Job.26.1 Job.28.11
Job.16 Job.28.12 Job.28.19
Job.17 Job.28.20 Job.31.7
Job.18 Job.31.8 Job.31.40
Job.19 Job.32.1 Job.32.1
Job.20 Job.32.2 Job.32.5
Job.21 Job.32.6 Job.35.16
Job.22 Job.36.1 Job.37.24
Job.23 Job.38.1 Job.39.30
Job.24 Job.40.1 Job.40.2
Job.25 Job.40.3 Job.40.5
Job.26 Job.40.6 Job.42.6
Joel.1 Job.42.7 Joel.1.20
Joel.2 Joel.2.1 Joel.2.14
Jonah.1 Joel.2.15 Jonah.2.11
Josh.1 Jonah.3.1 Josh.1.9
Josh.2 Josh.1.10 Josh.1.18
Josh.3 Josh.2.1 Josh.3.8
Josh.4 Josh.3.9 Josh.4.1
Josh.5 Josh.4.1 Josh.4.14
Josh.6 Josh.4.15 Josh.5.8
Josh.7 Josh.5.9 Josh.6.11
Josh.8 Josh.6.12 Josh.6.25
Josh.9 Josh.6.26 Josh.7.26
Josh.10 Josh.8.1 Josh.8.17
Josh.11 Josh.8.18 Josh.8.29
Josh.12 Josh.8.30 Josh.8.35
Josh.13 Josh.9.1 Josh.9.2
Josh.14 Josh.9.3 Josh.9.27
Josh.15 Josh.10.1 Josh.10.7
Josh.16 Josh.10.8 Josh.10.14
Josh.17 Josh.10.15 Josh.10.27
Josh.18 Josh.10.28 Josh.10.32
Josh.19 Josh.10.33 Josh.10.35
Josh.20 Josh.10.36 Josh.10.43
Josh.21 Josh.11.1 Josh.11.5
Josh.22 Josh.11.6 Josh.11.23
Josh.23 Josh.12.1 Josh.12.8
Josh.24 Josh.12.9 Josh.12.24
Josh.25 Josh.13.1 Josh.13.23
Josh.26 Josh.13.24 Josh.14.5
Josh.27 Josh.14.6 Josh.14.15
Josh.28 Josh.15.1 Josh.15.19
Josh.29 Josh.15.20 Josh.15.63
Josh.30 Josh.16.1 Josh.16.10
Josh.31 Josh.17.1 Josh.17.18
Josh.32 Josh.18.1 Josh.18.10
Josh.33 Josh.18.11 Josh.18.28
Josh.34 Josh.19.1 Josh.19.9
Josh.35 Josh.19.10 Josh.19.16
Josh.36 Josh.19.17 Josh.19.23
Josh.37 Josh.19.24 Josh.19.31
Josh.38 Josh.19.32 Josh.19.39
Josh.39 Josh.19.40 Josh.19.48
Josh.40 Josh.19.49 Josh.19.51
Josh.41 Josh.20.1 Josh.20.9
Josh.42 Josh.21.1 Josh.21.8
Josh.43 Josh.21.9 Josh.21.16
Josh.44 Josh.21.17 Josh.21.45
Josh.45 Josh.22.1 Josh.22.8
Josh.46 Josh.22.9 Josh.22.12
Josh.47 Josh.22.13 Josh.22.20
Josh.48 Josh.22.21 Josh.22.29
Josh.49 Josh.22.30 Josh.22.34
Josh.50 Josh.23.1 Josh.23.16
Josh.51 Josh.24.1 Josh.24.15
Josh.52 Josh.24.16 Josh.24.28
Judg.1 Josh.24.29 Judg.1.7
Judg.2 Judg.1.8 Judg.1.15
Judg.3 Judg.1.16 Judg.1.26
Judg.4 Judg.1.27 Judg.1.29
Judg.5 Judg.1.30 Judg.1.36
Judg.6 Judg.2.1 Judg.2.1
Judg.7 Judg.2.1 Judg.2.5
Judg.8 Judg.2.6 Judg.2.23
Judg.9 Judg.3.1 Judg.3.6
Judg.10 Judg.3.7 Judg.3.11
Judg.11 Judg.3.12 Judg.4.24
Judg.12 Judg.5.1 Judg.5.31
Judg.13 Judg.6.1 Judg.6.6
Judg.14 Judg.6.7 Judg.6.10
Judg.15 Judg.6.11 Judg.6.24
Judg.16 Judg.6.25 Judg.6.32
Judg.17 Judg.6.33 Judg.6.40
Judg.18 Judg.7.1 Judg.7.8
Judg.19 Judg.7.9 Judg.7.14
Judg.20 Judg.7.15 Judg.7.18
Judg.21 Judg.7.19 Judg.8.9
Judg.22 Judg.8.10 Judg.8.28
Judg.23 Judg.8.29 Judg.8.32
Judg.24 Judg.8.33 Judg.8.35
Judg.25 Judg.9.1 Judg.9.21
Judg.26 Judg.9.22 Judg.9.25
Judg.27 Judg.9.26 Judg.9.45
Judg.28 Judg.9.46 Judg.9.49
Judg.29 Judg.9.50 Judg.9.57
Judg.30 Judg.10.1 Judg.10.2
Judg.31 Judg.10.3 Judg.10.5
Judg.32 Judg.10.6 Judg.10.10
Judg.33 Judg.10.11 Judg.10.16
Judg.34 Judg.10.17 Judg.10.18
Judg.35 Judg.11.1 Judg.11.3
Judg.36 Judg.11.4 Judg.11.11
Judg.37 Judg.11.12 Judg.11.28
Judg.38 Judg.11.29 Judg.11.31
Judg.39 Judg.11.32 Judg.11.33
Judg.40 Judg.11.34 Judg.12.7
Judg.41 Judg.12.8 Judg.12.10
Judg.42 Judg.12.11 Judg.12.12
Judg.43 Judg.12.13 Judg.12.15
Judg.44 Judg.13.1 Judg.13.1
Judg.45 Judg.13.2 Judg.13.7
Judg.46 Judg.13.8 Judg.13.25
Judg.47 Judg.14.1 Judg.14.4
Judg.48 Judg.14.5 Judg.14.19
Judg.49 Judg.14.20 Judg.15.20
Judg.50 Judg.16.1 Judg.16.3
Judg.51 Judg.16.4 Judg.16.22
Judg.52 Judg.16.23 Judg.16.31
Judg.53 Judg.17.1 Judg.17.6
Judg.54 Judg.17.7 Judg.18.6
Judg.55 Judg.18.7 Judg.18.31
Judg.56 Judg.19.1 Judg.19.30
Judg.57 Judg.20.1 Judg.20.2
Judg.58 Judg.20.3 Judg.20.11
Judg.59 Judg.20.12 Judg.20.16
Judg.60 Judg.20.17 Judg.20.19
Judg.61 Judg.20.20 Judg.20.23
Judg.62 Judg.20.24 Judg.20.29
Judg.63 Judg.20.30 Judg.20.34
Judg.64 Judg.20.35 Judg.20.48
Judg.65 Judg.21.1 Judg.21.4
Lam.1 Judg.21.5 Lam.1.22
Lam.2 Lam.2.1 Lam.2.22
Lam.3 Lam.3.1 Lam.3.66
Lam.4 Lam.4.1 Lam.4.22
Lam.5 Lam.5.1 Lam.5.18
Lev.1 Lam.5.19 Lev.1.13
Lev.2 Lev.1.14 Lev.2.16
Lev.3 Lev.3.1 Lev.3.5
Lev.4 Lev.3.6 Lev.3.11
Lev.5 Lev.3.12 Lev.3.17
Lev.6 Lev.4.1 Lev.4.12
Lev.7 Lev.4.13 Lev.4.21
Lev.8 Lev.4.22 Lev.4.26
Lev.9 Lev.4.27 Lev.4.31
Lev.10 Lev.4.32 Lev.4.35
Lev.11 Lev.5.1 Lev.5.16
Lev.12 Lev.5.17 Lev.5.19
Lev.13 Lev.5.20 Lev.5.26
Lev.14 Lev.6.1 Lev.6.11
Lev.15 Lev.6.12 Lev.6.16
Lev.16 Lev.6.17 Lev.6.23
Lev.17 Lev.7.1 Lev.7.10
Lev.18 Lev.7.11 Lev.7.21
Lev.19 Lev.7.22 Lev.7.27
Lev.20 Lev.7.28 Lev.7.38
Lev.21 Lev.8.1 Lev.10.7
Lev.22 Lev.10.8 Lev.10.11
Lev.23 Lev.10.12 Lev.10.20
Lev.24 Lev.11.1 Lev.11.47
Lev.25 Lev.12.1 Lev.12.8
Lev.26 Lev.13.1 Lev.13.8
Lev.27 Lev.13.9 Lev.13.17
Lev.28 Lev.13.18 Lev.13.28
Lev.29 Lev.13.29 Lev.13.59
Lev.30 Lev.14.1 Lev.14.32
Lev.31 Lev.14.33 Lev.15.17
Lev.32 Lev.15.18 Lev.15.24
Lev.33 Lev.15.25 Lev.15.33
Lev.34 Lev.16.1 Lev.16.34
Lev.35 Lev.17.1 Lev.17.16
Lev.36 Lev.18.1 Lev.18.30
Lev.37 Lev.19.1 Lev.19.19
Lev.38 Lev.19.20 Lev.19.22
Lev.39 Lev.19.23 Lev.19.32
Lev.40 Lev.19.33 Lev.19.37
Lev.41 Lev.20.1 Lev.20.27
Lev.42 Lev.21.1 Lev.21.15
Lev.43 Lev.21.16 Lev.21.24
Lev.44 Lev.22.1 Lev.22.16
Lev.45 Lev.22.17 Lev.22.25
Lev.46 Lev.22.26 Lev.22.33
Lev.47 Lev.23.1 Lev.23.3
Lev.48 Lev.23.4 Lev.23.8
Lev.49 Lev.23.9 Lev.23.32
Lev.50 Lev.23.33 Lev.23.44
Lev.51 Lev.24.1 Lev.24.4
Lev.52 Lev.24.5 Lev.24.12
Lev.53 Lev.24.13 Lev.24.23
Lev.54 Lev.25.1 Lev.26.13
Lev.55 Lev.26.14 Lev.26.46
Mal.1 Lev.27.1 Mal.2.9
Mal.2 Mal.2.10 Mal.2.12
Mal.3 Mal.2.13 Mal.3.21
Mic.1 Mal.3.22 Mic.2.2
Mic.2 Mic.2.3 Mic.2.13
Mic.3 Mic.3.1 Mic.3.4
Mic.4 Mic.3.5 Mic.3.12
Mic.5 Mic.4.1 Mic.4.5
Mic.6 Mic.4.6 Mic.4.7
Mic.7 Mic.4.8 Mic.5.8
Mic.8 Mic.5.9 Mic.6.8
Mic.9 Mic.6.9 Mic.6.16
Nah.1 Mic.7.1 Nah.1.14
Neh.1 Nah.2.1 Neh.1.11
Neh.2 Neh.2.1 Neh.2.9
Neh.3 Neh.2.10 Neh.2.18
Neh.4 Neh.2.19 Neh.3.32
Neh.5 Neh.3.33 Neh.3.35
Neh.6 Neh.3.36 Neh.3.38
Neh.7 Neh.4.1 Neh.4.8
Neh.8 Neh.4.9 Neh.5.19
Neh.9 Neh.6.1 Neh.6.13
Neh.10 Neh.6.14 Neh.6.15
Neh.11 Neh.6.16 Neh.7.5
Neh.12 Neh.7.6 Neh.7.38
Neh.13 Neh.7.39 Neh.7.42
Neh.14 Neh.7.43 Neh.7.60
Neh.15 Neh.7.61 Neh.7.71
Neh.16 Neh.7.72 Neh.8.4
Neh.17 Neh.8.5 Neh.8.15
Neh.18 Neh.8.16 Neh.8.18
Neh.19 Neh.9.1 Neh.9.3
Neh.20 Neh.9.4 Neh.9.37
Neh.21 Neh.10.1 Neh.11.2
Neh.22 Neh.11.3 Neh.11.9
Neh.23 Neh.11.10 Neh.11.18
Neh.24 Neh.11.19 Neh.11.21
Neh.25 Neh.11.22 Neh.11.36
Neh.26 Neh.12.1 Neh.12.7
Neh.27 Neh.12.8 Neh.12.22
Neh.28 Neh.12.23 Neh.12.26
Neh.29 Neh.12.27 Neh.12.47
Neh.30 Neh.13.1 Neh.13.9
Neh.31 Neh.13.10 Neh.13.13
Neh.32 Neh.13.14 Neh.13.18
Neh.33 Neh.13.19 Neh.13.22
Num.1 Neh.13.23 Num.1.19
Num.2 Num.1.20 Num.1.21
Num.3 Num.1.22 Num.1.23
Num.4 Num.1.24 Num.1.25
Num.5 Num.1.26 Num.1.27
Num.6 Num.1.28 Num.1.29
Num.7 Num.1.30 Num.1.31
Num.8 Num.1.32 Num.1.33
Num.9 Num.1.34 Num.1.35
Num.10 Num.1.36 Num.1.37
Num.11 Num.1.38 Num.1.39
Num.12 Num.1.40 Num.1.41
Num.13 Num.1.42 Num.1.43
Num.14 Num.1.44 Num.1.47
Num.15 Num.1.48 Num.1.54
Num.16 Num.2.1 Num.2.31
Num.17 Num.2.32 Num.3.4
Num.18 Num.3.5 Num.3.10
Num.19 Num.3.11 Num.3.43
Num.20 Num.3.44 Num.3.51
Num.21 Num.4.1 Num.4.20
Num.22 Num.4.21 Num.4.28
Num.23 Num.4.29 Num.4.49
Num.24 Num.5.1 Num.5.4
Num.25 Num.5.5 Num.5.10
Num.26 Num.5.11 Num.5.31
Num.27 Num.6.1 Num.6.21
Num.28 Num.6.22 Num.6.27
Num.29 Num.7.1 Num.7.17
Num.30 Num.7.18 Num.7.23
Num.31 Num.7.24 Num.7.29
Num.32 Num.7.30 Num.7.35
Num.33 Num.7.36 Num.7.41
Num.34 Num.7.42 Num.7.47
Num.35 Num.7.48 Num.7.53
Num.36 Num.7.54 Num.7.59
Num.37 Num.7.60 Num.7.65
Num.38 Num.7.66 Num.7.71
Num.39 Num.7.72 Num.7.77
Num.40 Num.7.78 Num.7.83
Num.41 Num.7.84 Num.7.89
Num.42 Num.8.1 Num.8.4
Num.43 Num.8.5 Num.8.26
Num.44 Num.9.1 Num.9.8
Num.45 Num.9.9 Num.9.14
Num.46 Num.9.15 Num.9.23
Num.47 Num.10.1 Num.10.10
Num.48 Num.10.11 Num.11.15
Num.49 Num.11.16 Num.11.22
Num.50 Num.11.23 Num.11.35
Num.51 Num.12.1 Num.12.13
Num.52 Num.12.14 Num.12.16
Num.53 Num.13.1 Num.14.10
Num.54 Num.14.11 Num.14.25
Num.55 Num.14.26 Num.14.45
Num.56 Num.15.1 Num.15.16
Num.57 Num.15.17 Num.15.31
Num.58 Num.15.32 Num.15.36
Num.59 Num.15.37 Num.15.41
Num.60 Num.16.1 Num.16.19
Num.61 Num.16.20 Num.16.22
Num.62 Num.16.23 Num.16.35
Num.63 Num.17.1 Num.17.8
Num.64 Num.17.9 Num.17.15
Num.65 Num.17.16 Num.18.24
Num.66 Num.18.25 Num.18.32
Num.67 Num.19.1 Num.19.22
Num.68 Num.20.1 Num.20.6
Num.69 Num.20.7 Num.20.21
Num.70 Num.20.22 Num.21.3
Num.71 Num.21.4 Num.21.20
Num.72 Num.21.21 Num.24.25
Num.73 Num.25.1 Num.25.9
Num.74 Num.25.10 Num.25.15
Num.75 Num.25.16 Num.25.19
Num.76 Num.26.1 Num.26.51
Num.77 Num.26.52 Num.27.14
Num.78 Num.27.15 Num.27.23
Num.79 Num.28.1 Num.28.8
Num.80 Num.28.9 Num.28.31
Num.81 Num.29.1 Num.29.11
Num.82 Num.29.12 Num.29.31
Num.83 Num.29.32 Num.29.34
Num.84 Num.29.35 Num.30.1
Num.85 Num.30.2 Num.30.17
Num.86 Num.31.1 Num.31.24
Num.87 Num.31.25 Num.31.54
Num.88 Num.32.1 Num.32.19
Num.89 Num.32.20 Num.32.42
Num.90 Num.33.1 Num.33.56
Num.91 Num.34.1 Num.34.15
Num.92 Num.34.16 Num.34.29
Num.93 Num.35.1 Num.35.8
Num.94 Num.35.9 Num.35.34
Prov.1 Num.36.1 Prov.1.7
Prov.2 Prov.1.8 Prov.1.19
Prov.3 Prov.1.20 Prov.1.33
Prov.4 Prov.2.1 Prov.2.22
Prov.5 Prov.3.1 Prov.3.4
Prov.6 Prov.3.5 Prov.3.10
Prov.7 Prov.3.11 Prov.3.18
Prov.8 Prov.3.19 Prov.3.35
Prov.9 Prov.4.1 Prov.4.19
Prov.10 Prov.4.20 Prov.5.6
Prov.11 Prov.5.7 Prov.5.23
Prov.12 Prov.6.1 Prov.6.5
Prov.13 Prov.6.6 Prov.6.11
Prov.14 Prov.6.12 Prov.6.15
Prov.15 Prov.6.16 Prov.6.19
Prov.16 Prov.6.20 Prov.6.26
Prov.17 Prov.6.27 Prov.6.35
Prov.18 Prov.7.1 Prov.7.23
Prov.19 Prov.7.24 Prov.7.27
Prov.20 Prov.8.1 Prov.8.21
Prov.21 Prov.8.22 Prov.8.31
Prov.22 Prov.8.32 Prov.8.36
Prov.23 Prov.9.1 Prov.9.9
Prov.24 Prov.9.10 Prov.9.18
Prov.25 Prov.10.1 Prov.10.1
Prov.26 Prov.10.1 Prov.13.25
Prov.27 Prov.14.1 Prov.19.9
Prov.28 Prov.19.10 Prov.21.30
Prov.29 Prov.21.31 Prov.22.21
Prov.30 Prov.22.22 Prov.22.29
Prov.31 Prov.23.1 Prov.23.5
Prov.32 Prov.23.6 Prov.24.14
Prov.33 Prov.24.15 Prov.24.27
Prov.34 Prov.24.28 Prov.24.34
Prov.35 Prov.25.1 Prov.25.13
Prov.36 Prov.25.14 Prov.25.20
Prov.37 Prov.25.21 Prov.26.21
Prov.38 Prov.26.22 Prov.27.22
Prov.39 Prov.27.23 Prov.28.4
Prov.40 Prov.28.5 Prov.28.16
Prov.41 Prov.28.17 Prov.29.17
Prov.42 Prov.29.18 Prov.29.27
Prov.43 Prov.30.1 Prov.30.6
Prov.44 Prov.30.7 Prov.30.9
Prov.45 Prov.30.10 Prov.30.14
Prov.46 Prov.30.15 Prov.30.17
Prov.47 Prov.30.18 Prov.30.20
Prov.48 Prov.30.21 Prov.30.23
Prov.49 Prov.30.24 Prov.30.28
Prov.50 Prov.30.29 Prov.30.33
Prov.51 Prov.31.1 Prov.31.9
Ruth.1 Prov.31.10 Ruth.4.17
Song.1 Ruth.4.18 Song.8.10
Zech.1 Song.8.11 Zech.2.9
Zech.2 Zech.2.10 Zech.4.7
Zech.3 Zech.4.8 Zech.7.3
Zech.4 Zech.7.4 Zech.7.7
Zech.5 Zech.7.8 Zech.7.14
Zech.6 Zech.8.1 Zech.8.6
Zech.7 Zech.8.7 Zech.8.19
Zech.8 Zech.8.20 Zech.10.2
Zech.9 Zech.10.3 Zech.12.1
Zech.10 Zech.12.2 Zech.12.6
